epoch,train_loss,val_metric,best_metric,lr,params,student_modalities,drop_counts
70,0.0883523687236011,0.07864887352690449,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
71,0.08891756067797542,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
72,0.08204240142926573,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
73,0.08816558368876576,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
74,0.08513348465785384,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
75,0.08637578417733312,0.061806042906403735,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
76,0.08439576017856598,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
77,0.08654074777290224,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
78,0.0832881603203714,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
79,0.08356632529944182,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
80,0.08343304840475321,0.07842462549172133,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
81,0.08639736333116889,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
82,0.08579532719776034,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
83,0.08563627263717354,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
84,0.08632711385935544,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
85,0.08473434507101774,0.06727055075746445,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
86,0.08142388671822846,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
87,0.0837641096059233,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
88,0.08382368368841708,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
89,0.08525028407014906,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
90,0.08157752765901387,0.0733507318246363,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
91,0.08457286043837667,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
92,0.08200102263316512,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
93,0.07888483936153352,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
94,0.08282672160863877,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
95,0.07915495414473116,0.07392397349088742,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
96,0.08318406013958156,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
97,0.08136400023475289,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
98,0.08428375028818846,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
99,0.08227975160628558,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
100,0.07967210549116134,0.09089883564434707,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
