file_path,file_type,task,method_name,input_modalities,missing_setting,split_protocol,metric_name,metric_value,metric_direction,baseline_reference,improvement_or_drop,is_ours,is_xfi_or_ori_baseline,is_superteacher_exploration,recommended_usage,reason,source_confidence
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-NV,,,cross-scene,avg_mpjpe_mm,153.89,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-NV,,,cross-scene,full_mpjpe_mm,78.96,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-VK,,,cross-subject,avg_mpjpe_mm,78.57,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-VK,,,cross-subject,full_mpjpe_mm,49.88,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-NV,,,cross-subject,avg_mpjpe_mm,90.74,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-NV,,,cross-subject,full_mpjpe_mm,52.45,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\privacy_exposure_residual_risk.csv,csv,privacy_probe,privacy_exposure_residual_risk,,,,,,,,,yes,no,no,main_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\reliability_corruption_from_logs.csv,csv,reliability,reliability_corruption_from_logs,,,,macro_f1,0.748615,higher_better,,,yes,no,no,figure,Supports mechanism visualization or diagnostic analysis.,high
E:\Deskbook\Tea\tables\reliability_corruption_from_logs.csv,csv,reliability,reliability_corruption_from_logs,,,,macro_f1,0.598554,higher_better,,,yes,no,no,figure,Supports mechanism visualization or diagnostic analysis.,high
E:\Deskbook\Tea\tables\reliability_corruption_from_logs.csv,csv,reliability,reliability_corruption_from_logs,,,,macro_f1,0.345325,higher_better,,,yes,no,no,figure,Supports mechanism visualization or diagnostic analysis.,high
