protocol,scene,subject,action,idx,rgb_vk_path,mmwave_vk_path,mse,mae,mean_joint_error,max_joint_error,nme,pck05,pck10,bbox_diag
cross_subject,E01,S01,A06,115,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame116.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame116.npy,198.12734985,9.08911419,14.88876247,47.79421997,0.04945226,0.58823529,0.82352941,301.07342529
cross_subject,E01,S01,A06,120,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame121.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame121.npy,424.26013184,17.18656731,27.38307190,59.08578110,0.09231331,0.05882353,0.76470588,296.63189697
cross_subject,E01,S01,A06,125,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame126.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame126.npy,399.35632324,15.68944550,24.70314026,71.52804565,0.08282038,0.05882353,0.70588235,298.27368164
cross_subject,E01,S01,A06,130,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame131.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame131.npy,509.93273926,19.17390442,30.56583977,58.61658096,0.10238636,0.00000000,0.58823529,298.53430176
cross_subject,E01,S01,A06,135,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame136.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame136.npy,533.42919922,17.85696220,27.91119003,81.68881989,0.09564605,0.05882353,0.76470588,291.81747437
cross_subject,E01,S01,A06,140,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame141.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame141.npy,338.79217529,12.88737488,21.43431854,61.29111481,0.07158808,0.47058824,0.70588235,299.41183472
cross_subject,E01,S01,A06,145,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame146.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame146.npy,409.76635742,15.85979176,25.52998734,54.92145538,0.08803102,0.11764706,0.76470588,290.01126099
cross_subject,E01,S01,A06,150,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame151.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame151.npy,241.88082886,12.40521336,19.41330147,39.08813095,0.06635774,0.52941176,0.76470588,292.55517578
cross_subject,E01,S01,A06,155,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame156.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame156.npy,299.44152832,13.89571095,21.76136589,55.58900452,0.07396415,0.17647059,0.82352941,294.21505737
cross_subject,E01,S01,A06,160,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame161.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame161.npy,374.35665894,14.98048496,23.88027573,70.00278473,0.08129432,0.05882353,0.76470588,293.75085449
cross_subject,E01,S01,A06,165,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame166.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame166.npy,329.57186890,13.38866329,21.19821548,50.88885117,0.07126418,0.47058824,0.70588235,297.45959473
cross_subject,E01,S01,A06,170,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame171.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame171.npy,443.18151855,16.06689072,25.45001221,58.83345795,0.08690862,0.11764706,0.76470588,292.83645630
cross_subject,E01,S01,A06,175,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame176.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame176.npy,364.66278076,15.48817348,24.35353088,46.61475754,0.08297906,0.23529412,0.64705882,293.49008179
cross_subject,E01,S01,A06,180,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame181.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame181.npy,655.96368408,21.71028709,34.26364517,73.42162323,0.11740069,0.00000000,0.35294118,291.85217285
cross_subject,E01,S01,A06,185,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame186.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame186.npy,347.96777344,15.25443554,23.91164589,62.82604980,0.08062816,0.05882353,0.82352941,296.56692505
cross_subject,E01,S01,A06,190,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame191.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame191.npy,292.84170532,13.82328320,22.44823647,38.79800797,0.07625043,0.17647059,0.70588235,294.40142822
cross_subject,E01,S01,A06,195,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame196.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame196.npy,526.86614990,18.70617676,29.55459023,60.24942017,0.10121829,0.11764706,0.76470588,291.98864746
cross_subject,E01,S01,A06,200,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame201.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame201.npy,288.32345581,13.71481609,22.11853027,41.68537903,0.07493694,0.41176471,0.64705882,295.16192627
cross_subject,E01,S01,A06,205,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame206.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame206.npy,487.16732788,17.84347153,28.45611954,70.92046356,0.09529450,0.00000000,0.70588235,298.61239624
cross_subject,E01,S01,A06,210,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame211.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame211.npy,326.58184814,14.33499146,23.04318047,61.35757065,0.07652164,0.05882353,0.88235294,301.13287354
cross_subject,E01,S01,A06,215,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame216.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame216.npy,264.84140015,11.31284237,18.63392258,49.27715683,0.06175040,0.52941176,0.82352941,301.76196289
cross_subject,E01,S01,A06,220,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame221.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame221.npy,472.21777344,16.75649071,26.10019493,66.15415192,0.08829831,0.11764706,0.76470588,295.59109497
cross_subject,E01,S01,A06,225,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame226.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame226.npy,257.72903442,12.41031933,19.58936310,45.63602066,0.06524028,0.52941176,0.82352941,300.26483154
cross_subject,E01,S01,A06,230,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame231.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame231.npy,404.73306274,16.55066872,26.23395348,61.49129486,0.08769497,0.05882353,0.70588235,299.15002441
cross_subject,E01,S01,A06,235,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame236.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame236.npy,369.49160767,15.56576347,24.01428223,68.15917969,0.08014025,0.11764706,0.82352941,299.65319824
cross_subject,E01,S01,A06,240,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame241.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame241.npy,262.48144531,11.07454300,17.42834663,51.48411560,0.05833654,0.58823529,0.82352941,298.75521851
cross_subject,E01,S01,A06,245,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame246.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame246.npy,671.74194336,20.87653351,33.38885880,66.66992188,0.11211326,0.05882353,0.64705882,297.81365967
cross_subject,E01,S01,A06,250,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame251.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame251.npy,389.99426270,15.60718822,25.44294357,58.61101151,0.08477036,0.05882353,0.64705882,300.13961792
