protocol,scene,subject,action,idx,rgb_vk_path,mmwave_vk_path,mse,mae,mean_joint_error,max_joint_error,nme,pck05,pck10,bbox_diag
cross_scene,E01,S02,A25,103,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame104.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame104.npy,967.55126953,24.59931755,38.58750916,94.94656372,0.11064919,0.17647059,0.41176471,348.73739624
cross_scene,E01,S02,A25,108,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame109.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame109.npy,452.16818237,16.78418732,26.97208977,58.27215195,0.07768976,0.29411765,0.70588235,347.17691040
cross_scene,E01,S02,A25,113,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame114.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame114.npy,197.22503662,11.83250618,18.42992783,35.01999283,0.05738486,0.47058824,0.94117647,321.16357422
cross_scene,E01,S02,A25,118,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame119.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame119.npy,1305.65869141,25.15149498,38.07808304,124.70007324,0.10782757,0.17647059,0.70588235,353.13864136
cross_scene,E01,S02,A25,123,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame124.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame124.npy,759.83538818,20.47937393,36.37390900,56.49103546,0.11200631,0.05882353,0.41176471,324.74874878
cross_scene,E01,S02,A25,128,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame129.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame129.npy,377.75970459,14.46004391,24.23088264,42.06886673,0.07159206,0.41176471,0.64705882,338.45770264
cross_scene,E01,S02,A25,133,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame134.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame134.npy,1090.16064453,24.52794838,38.80292511,110.76258850,0.10985958,0.23529412,0.47058824,353.20474243
cross_scene,E01,S02,A25,138,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame139.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame139.npy,443.11840820,17.52515411,27.35050964,44.32217407,0.08647638,0.11764706,0.58823529,316.27722168
cross_scene,E01,S02,A25,143,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame144.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame144.npy,552.60150146,18.08713913,27.22797966,86.63722229,0.07866975,0.35294118,0.82352941,346.10482788
cross_scene,E01,S02,A25,148,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame149.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame149.npy,924.47644043,24.19390488,40.20596695,63.02475739,0.11728880,0.05882353,0.35294118,342.79458618
cross_scene,E01,S02,A25,153,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame154.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame154.npy,399.64532471,16.73311806,26.17988586,41.60692596,0.08289812,0.17647059,0.64705882,315.80795288
cross_scene,E01,S02,A25,158,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame159.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame159.npy,1116.62414551,26.34840202,42.05083084,102.17772675,0.11859211,0.11764706,0.29411765,354.58370972
cross_scene,E01,S02,A25,163,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame164.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame164.npy,583.25164795,18.44033241,30.45718193,50.62197876,0.08881227,0.23529412,0.52941176,342.93890381
cross_scene,E01,S02,A25,168,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame169.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame169.npy,512.58593750,17.73994637,29.42874336,47.13270569,0.09004090,0.11764706,0.58823529,326.83752441
cross_scene,E01,S02,A25,173,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame174.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame174.npy,1111.72460938,24.18847656,37.70462799,117.48453522,0.10532661,0.23529412,0.70588235,357.97817993
cross_scene,E01,S02,A25,178,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame179.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame179.npy,190.36782837,11.33242989,17.57278061,40.29747009,0.05382364,0.47058824,0.94117647,326.48812866
cross_scene,E01,S02,A25,183,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame184.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame184.npy,291.71316528,13.80558777,21.54100037,51.47758102,0.06418130,0.35294118,0.94117647,335.62738037
cross_scene,E01,S02,A25,188,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame189.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame189.npy,1115.19860840,25.46481514,40.30734253,112.52797699,0.11236868,0.11764706,0.41176471,358.70620728
cross_scene,E01,S02,A25,193,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame194.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame194.npy,288.83294678,13.61129570,21.01733208,38.60005951,0.06530645,0.47058824,0.70588235,321.82629395
cross_scene,E01,S02,A25,198,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame199.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame199.npy,572.82806396,20.46622276,31.35888672,63.21369934,0.09235246,0.17647059,0.64705882,339.55657959
cross_scene,E01,S02,A25,203,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame204.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame204.npy,909.88543701,24.05994797,39.61825562,56.79648209,0.11589419,0.11764706,0.35294118,341.84851074
cross_scene,E01,S02,A25,208,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame209.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame209.npy,833.82873535,22.62530518,38.69894791,55.63430023,0.12163528,0.05882353,0.35294118,318.15560913
cross_scene,E01,S02,A25,213,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame214.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame214.npy,1141.37292480,25.90450859,41.34205627,112.87042999,0.11460049,0.17647059,0.35294118,360.74938965
cross_scene,E01,S02,A25,218,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame219.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame219.npy,469.78799438,16.77404976,27.43600273,46.75712967,0.08284799,0.17647059,0.58823529,331.16076660
