project,method,split,source_file,modality_set,ours_acc_pct,official_acc_pct,delta_acc_pct,acc_trend,ours_macro_f1_pct
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,vk,60.94,26.50,34.44,IMPROVED,59.31
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,depth,86.85,48.10,38.75,IMPROVED,86.78
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,lidar,33.14,52.70,-19.56,DEGRADED,31.11
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,mmwave,83.13,85.70,-2.57,DEGRADED,83.31
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,vk+depth,88.09,45.30,42.79,IMPROVED,87.94
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,vk+lidar,63.63,35.20,28.43,IMPROVED,62.65
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,vk+mmwave,91.05,73.40,17.65,IMPROVED,91.12
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,depth+lidar,87.24,51.60,35.64,IMPROVED,87.25
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,depth+mmwave,95.57,79.80,15.77,IMPROVED,95.56
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,lidar+mmwave,85.92,88.70,-2.78,DEGRADED,86.09
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,vk+depth+lidar,88.62,48.70,39.92,IMPROVED,88.53
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,vk+depth+mmwave,95.96,70.70,25.26,IMPROVED,95.95
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,vk+lidar+mmwave,91.23,77.80,13.43,IMPROVED,91.29
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,depth+lidar+mmwave,95.50,80.50,15.00,IMPROVED,95.50
HAR,VK-RCD-HAR-Ablation-NoKD,random_split,ablation_no_distill_all_combinations.csv,vk+depth+lidar+mmwave,95.99,72.20,23.79,IMPROVED,95.98
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,vk,5.52,26.50,-20.98,DEGRADED,1.32
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,depth,85.59,48.10,37.49,IMPROVED,85.30
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,lidar,2.65,52.70,-50.05,DEGRADED,1.55
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,mmwave,69.91,85.70,-15.79,DEGRADED,68.71
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,vk+depth,86.48,45.30,41.18,IMPROVED,86.24
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,vk+lidar,4.58,35.20,-30.62,DEGRADED,1.76
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,vk+mmwave,67.75,73.40,-5.65,DEGRADED,66.21
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,depth+lidar,86.16,51.60,34.56,IMPROVED,85.91
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,depth+mmwave,95.54,79.80,15.74,IMPROVED,95.54
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,lidar+mmwave,67.80,88.70,-20.90,DEGRADED,66.56
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,vk+depth+lidar,86.43,48.70,37.73,IMPROVED,86.19
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,vk+depth+mmwave,95.50,70.70,24.80,IMPROVED,95.49
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,vk+lidar+mmwave,67.09,77.80,-10.71,DEGRADED,65.08
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,depth+lidar+mmwave,95.42,80.50,14.92,IMPROVED,95.42
HAR,VK-RCD-HAR-Ablation-UniformFusion,random_split,ablation_uniform_fusion_all_combinations.csv,vk+depth+lidar+mmwave,95.39,72.20,23.19,IMPROVED,95.39
