project,file,method,split,modality_set,acc_pct,macro_f1_pct,loss,params
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,depth+lidar,88.52,88.39,0.7787157402854368,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,depth+mmwave,96.45,96.44,0.16522132278697071,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,lidar+mmwave,89.51,89.57,0.46222985791410676,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth+lidar,89.62,89.49,0.6605756269592336,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth+mmwave,96.56,96.55,0.1623159114804314,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+lidar+mmwave,92.73,92.81,0.34981674212181413,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,depth+lidar+mmwave,96.44,96.43,0.16708852564985235,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth+lidar+mmwave,96.56,96.55,0.1621165380763363,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,vk,4.44,0.79,8.879861623953369,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,depth,84.86,84.47,1.291192017999247,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,lidar,3.96,1.50,9.196009492639265,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,mmwave,61.11,59.73,2.4529748359219687,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,vk+depth,85.21,84.97,1.378218419147616,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,vk+lidar,4.01,1.49,8.57123276444352,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,vk+mmwave,60.86,59.44,2.6776235968771824,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,depth+lidar,84.33,83.84,1.380286816256279,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,depth+mmwave,95.07,95.10,0.409839346604367,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,lidar+mmwave,60.49,58.23,2.451947396383704,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,vk+depth+lidar,84.86,84.57,1.3798360993154992,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,vk+depth+mmwave,94.96,94.99,0.43060756511855725,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,vk+lidar+mmwave,61.15,59.02,2.5429036805431626,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,depth+lidar+mmwave,94.83,94.86,0.42576679548628377,8606392
HAR,teacher_cross_scene_all_combinations.csv,VK-RCD-HAR-Teacher,cross_scene_split,vk+depth+lidar+mmwave,94.80,94.83,0.43833234462161585,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,vk,5.15,2.00,10.350211375535956,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,depth,81.74,80.25,1.6866505850692821,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,lidar,3.89,2.75,9.780208195462937,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,mmwave,72.35,71.76,1.7454650973477273,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,vk+depth,82.87,81.39,1.6143775828160458,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,vk+lidar,4.11,1.75,10.61111086912914,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,vk+mmwave,69.56,68.95,2.1454527087412356,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,depth+lidar,82.45,81.23,1.6115474022270826,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,depth+mmwave,95.74,95.71,0.3667334464620227,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,lidar+mmwave,69.75,68.99,2.143022801417606,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,vk+depth+lidar,82.85,81.62,1.5905857921710291,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,vk+depth+mmwave,95.72,95.69,0.37230491854384,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,vk+lidar+mmwave,69.26,68.44,2.2171992457515257,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,depth+lidar+mmwave,95.51,95.47,0.3987231948412287,8606392
HAR,teacher_cross_subject_all_combinations.csv,VK-RCD-HAR-Teacher,cross_subject_split,vk+depth+lidar+mmwave,95.52,95.48,0.39727602491193986,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk,3.40,0.45,4.846866876842048,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,depth,83.71,82.80,0.9316779477152167,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,lidar,3.36,1.17,5.619264955862693,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,mmwave,66.72,64.78,1.302802075715537,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk+depth,83.50,82.60,0.9343671245146327,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk+lidar,3.91,1.31,5.11935692134381,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk+mmwave,66.46,63.67,1.3267332670940377,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,depth+lidar,83.37,82.54,0.9506096896975155,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,depth+mmwave,95.76,95.74,0.1944780354168872,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,lidar+mmwave,66.69,63.96,1.31343708934389,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk+depth+lidar,83.66,82.91,0.9398841806217653,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk+depth+mmwave,95.66,95.65,0.1980663145458062,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk+lidar+mmwave,66.39,63.36,1.3339765924933542,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,depth+lidar+mmwave,95.64,95.63,0.20131646432701975,8606392
HAR,teacher_random_all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk+depth+lidar+mmwave,95.57,95.56,0.20351731765346884,8606392
HAR,ablation_no_distill\final_eval.csv,VK-RCD-HAR-Ablation-NoKD,random_split,vk+depth+lidar+mmwave,95.97,95.95,0.20892225346460686,8606392
HAR,ablation_uniform_fusion\final_eval.csv,VK-RCD-HAR-Ablation-UniformFusion,random_split,vk+depth+lidar+mmwave,95.40,95.40,0.1872714608298971,8606392
HAR,student_nv_missing_cross_scene\final_eval.csv,VK-RCD-HAR-Student-NV-Missing,cross_scene_split,depth+lidar+mmwave,95.41,95.40,0.33270550553771955,8606392
HAR,student_nv_missing_cross_subject\final_eval.csv,VK-RCD-HAR-Student-NV-Missing,cross_subject_split,depth+lidar+mmwave,95.66,95.64,0.3926304536989274,8606392
HAR,student_vk_missing\final_eval.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth+lidar+mmwave,96.54,96.53,0.16269618745436706,8606392
