epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,modalities
80,0.0017297523703891783,0.0014046166001394351,0.048815580021972324,0.03365880902793373,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
81,0.001718870948185213,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
82,0.0017135624242946505,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
83,0.0017225431957049295,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
84,0.0017032556284684688,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
85,0.001697281117318198,0.0014321441540801982,0.049820576123739954,0.03396747244517853,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
86,0.0016724419514648615,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
87,0.001672551830066368,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
88,0.0016748251826502383,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
89,0.001676512641948648,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
90,0.0016995871972758322,0.0014191326387068923,0.049192289159692336,0.03332859687730912,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
91,0.0016529083075001835,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
92,0.0016509850302245468,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
93,0.0016388168029952794,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
94,0.0016336612679297105,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
95,0.0016339027656940743,0.0014317517437842516,0.04941828243229095,0.033678083279723534,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
96,0.0016200528290355577,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
97,0.0016464739148505032,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
98,0.0016019620541483164,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
99,0.0016141853154404088,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
100,0.0016353950483025982,0.001392279469147594,0.048450999594188894,0.03306343343395164,0.048450999594188894,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
